@relation pacman-weka.filters.unsupervised.attribute.Remove-R49

@attribute pacmanx numeric
@attribute pacmany numeric
@attribute legalW numeric
@attribute legalE numeric
@attribute legalN numeric
@attribute legalS numeric
@attribute numghost numeric
@attribute alivePacman numeric
@attribute alive_Ghost1 numeric
@attribute alive_Ghost2 numeric
@attribute alive_Ghost3 numeric
@attribute alive_Ghost4 numeric
@attribute ghost1x numeric
@attribute ghost1y numeric
@attribute ghost2x numeric
@attribute ghost2y numeric
@attribute ghost3x numeric
@attribute ghost3y numeric
@attribute ghost4x numeric
@attribute ghost4y numeric
@attribute g1_west numeric
@attribute g1_stop numeric
@attribute g1_east numeric
@attribute g1_north numeric
@attribute g1_south numeric
@attribute g2_west numeric
@attribute g2_stop numeric
@attribute g2_east numeric
@attribute g2_north numeric
@attribute g2_south numeric
@attribute g3_west numeric
@attribute g3_stop numeric
@attribute g3_east numeric
@attribute g3_north numeric
@attribute g3_south numeric
@attribute g4_west numeric
@attribute g4_stop numeric
@attribute g4_east numeric
@attribute g4_north numeric
@attribute g4_south numeric
@attribute ghost1dist numeric
@attribute ghost2dist numeric
@attribute ghost3dist numeric
@attribute ghost4dist numeric
@attribute pac_dots numeric
@attribute distance_dots numeric
@attribute score numeric
@attribute move {Stop,East,West,North,South}
@attribute class {Stop,East,West,North,South}

@data
20,15,0,1,1,1,4,0,0,0,0,1,1,1,3,1,5,1,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,-1,-1,7,0,-1,522,North,East
21,15,1,1,1,0,4,0,0,0,0,1,1,1,3,1,5,1,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,-1,-1,6,0,-1,521,East,East
22,15,1,1,1,1,4,0,0,0,0,1,1,1,3,1,5,1,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,-1,-1,5,0,-1,520,East,East
23,15,1,1,1,1,4,0,0,0,0,1,1,1,3,1,5,1,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,-1,-1,4,0,-1,519,East,East
24,15,1,1,1,1,4,0,0,0,0,1,1,1,3,1,5,1,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,-1,-1,3,0,-1,518,East,South
24,14,1,1,1,0,4,0,0,0,0,1,1,1,3,1,5,1,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,-1,-1,2,0,-1,517,South,South
24,14,1,1,1,0,4,0,0,0,0,1,1,1,3,1,5,1,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,-1,-1,2,0,-1,516,South,East
25,14,1,0,1,1,4,0,0,0,0,1,1,1,3,1,5,1,25,13,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,-1,-1,-1,1,0,-1,515,East,South
15,7,1,1,1,0,4,0,1,1,1,1,1,3,5,17,22,17,24,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,18,20,17,13,217,1,-1,Stop,East
16,7,1,1,0,0,4,0,1,1,1,1,1,3,5,17,22,17,24,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,19,21,16,12,216,1,98,East,East
17,7,1,1,0,0,4,0,1,1,1,1,1,3,5,17,22,17,24,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,20,22,15,11,215,1,197,East,East
18,7,1,1,0,0,4,0,1,1,1,1,1,3,5,17,22,17,24,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,21,23,14,10,214,1,296,East,East
19,7,1,1,0,0,4,0,1,1,1,1,1,3,5,17,22,17,24,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,22,24,13,9,213,1,395,East,East
20,7,1,1,0,0,4,0,1,1,1,1,1,3,5,17,22,17,24,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,23,25,12,8,212,1,494,East,East
21,7,1,1,0,1,4,0,1,1,1,1,1,3,5,17,22,17,24,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,24,26,11,7,211,1,593,East,East
22,7,1,1,1,0,4,0,1,1,1,1,1,3,5,17,22,17,24,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,25,27,10,6,210,1,692,East,East
23,7,1,1,0,0,4,0,1,1,1,1,1,3,5,17,22,17,24,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,26,28,11,5,209,1,791,East,East
24,7,1,1,0,0,4,0,1,1,1,1,1,3,5,17,22,17,24,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,27,29,12,4,208,1,890,East,East
25,7,1,1,0,0,4,0,1,1,1,1,1,3,5,17,22,17,24,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,28,30,13,5,207,1,989,East,East
26,7,1,1,0,0,4,0,1,1,1,1,1,3,5,17,22,17,24,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,29,31,14,6,206,1,1088,East,East
27,7,1,1,0,0,4,0,1,1,1,1,1,3,5,17,22,17,24,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,30,32,15,7,205,1,1187,East,East
28,7,1,1,0,0,4,0,1,1,1,1,1,3,5,17,22,17,24,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,31,33,16,8,204,1,1286,East,East
29,7,1,0,0,1,4,0,1,1,1,1,1,3,5,17,22,17,24,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,32,34,17,9,203,1,1385,East,South
