@relation pacman-weka.filters.unsupervised.attribute.Remove-R49-weka.filters.unsupervised.attribute.Remove-R7-44

@attribute pacmanx numeric
@attribute pacmany numeric
@attribute legalW numeric
@attribute legalE numeric
@attribute legalN numeric
@attribute legalS numeric
@attribute pac_dots numeric
@attribute distance_dots numeric
@attribute score numeric
@attribute move {Stop,East,West,North,South}
@attribute class {Stop,East,West,North,South}

@data
11,6,1,0,1,1,0,-1,369,East,North
11,7,1,0,1,1,0,-1,368,North,North
11,8,1,0,1,1,0,-1,367,North,North
11,9,1,0,1,1,0,-1,366,North,North
11,10,1,0,1,1,0,-1,365,North,North
11,11,1,0,1,1,0,-1,364,North,North
11,12,1,1,0,1,0,-1,363,North,East
12,12,1,1,0,0,0,-1,362,East,East
13,12,1,1,0,1,0,-1,361,East,South
13,11,0,1,1,1,0,-1,360,South,South
13,10,0,1,1,1,0,-1,359,South,South
13,9,0,1,1,1,0,-1,358,South,South
13,8,0,1,1,1,0,-1,357,South,South
13,7,0,1,1,1,0,-1,356,South,South
13,6,0,1,1,1,0,-1,355,South,South
13,5,0,1,1,1,0,-1,354,South,East
14,5,1,0,1,1,0,-1,353,East,East
14,5,1,0,1,1,0,-1,352,East,North
14,6,1,1,1,1,0,-1,351,North,East
15,6,1,1,0,0,0,-1,350,East,East
16,6,1,1,0,0,0,-1,349,East,East
17,6,1,1,0,1,0,-1,348,East,East
18,6,1,1,0,1,0,-1,347,East,West
17,6,1,1,0,1,0,-1,346,West,East
18,6,1,1,0,1,0,-1,345,East,East
19,6,1,1,0,1,0,-1,344,East,South
19,5,1,1,1,1,0,-1,343,South,South
19,4,1,1,1,1,0,-1,342,South,East
20,4,1,1,1,1,0,-1,541,East,East
21,4,1,1,0,1,0,-1,540,East,East
22,4,1,1,0,1,0,-1,539,East,East
23,4,1,1,1,1,0,-1,538,East,North
23,5,0,1,1,1,0,-1,537,North,North
23,6,1,1,1,1,0,-1,536,North,North
23,7,0,1,1,1,0,-1,535,North,North
23,8,1,1,1,1,0,-1,534,North,North
23,9,0,1,1,1,0,-1,533,North,North
23,10,1,1,1,1,0,-1,532,North,West
22,10,1,1,1,0,0,-1,531,West,West
21,10,1,1,0,0,0,-1,530,West,West
20,10,1,1,1,0,0,-1,529,West,North
20,11,1,0,1,1,0,-1,528,North,North
20,12,1,0,1,1,0,-1,527,North,North
20,13,1,0,1,1,0,-1,526,North,North
20,14,1,0,1,1,0,-1,525,North,North
15,7,1,1,1,0,217,1,-2,Stop,East
